Round,Date,Home Team,Score,Away Team,Venue
5,Sunday 29 April,Central Pulse,47–51,Northern Mystics,"Arena Manawatu, Palmerston North"
5,Monday 30 April,Waikato Bay of Plenty Magic,61–52,Canterbury Tactix,"Energy Events Centre, Rotorua"
5,BYES:  New South Wales Swifts and Southern Steel,,,,
6,Sunday 6 May,New South Wales Swifts,39–36,Central Pulse,"State Sports Centre, Sydney"
6,Sunday 6 May,Queensland Firebirds,56–43,Northern Mystics,Gold Coast Convention and Exhibition Centre
6,Sunday 6 May,Waikato Bay of Plenty Magic,65–49,West Coast Fever,"TECT Arena, Tauranga"
6,Monday 7 May,Canterbury Tactix,41–65,Melbourne Vixens,"CBS Canterbury Arena, Christchurch"
6,Monday 7 May,Adelaide Thunderbirds,58–48,Southern Steel,"Netball SA Stadium, Adelaide"
7,Sunday 13 May,Adelaide Thunderbirds,60–43,West Coast Fever,"Netball SA Stadium, Adelaide"
7,Sunday 13 May,New South Wales Swifts,55–52,Melbourne Vixens,"Allphones Arena, Sydney"
7,Sunday 13 May,Southern Steel,45–49,Northern Mystics,"Lion Foundation Arena, Dunedin"
7,Monday 14 May,Central Pulse,46–56,Waikato Bay of Plenty Magic,"Te Rauparaha Arena, Porirua"
7,Monday 14 May,Queensland Firebirds,64–48,Canterbury Tactix,Brisbane Convention and Exhibition Centre
8,Saturday 19 May,Canterbury Tactix,42–65,Waikato Bay of Plenty Magic,"CBS Canterbury Arena, Christchurch"
8,Sunday 20 May,Melbourne Vixens,45–49,Northern Mystics,"Hisense Arena, Melbourne"
8,Sunday 20 May,New South Wales Swifts,52–47,West Coast Fever,Newcastle Entertainment Centre
8,Sunday 20 May,Southern Steel,60–61,Queensland Firebirds,"Stadium Southland Velodrome,Invercargill"
8,Monday 21 May,Central Pulse,47–46,Adelaide Thunderbirds,"TSB Bank Arena, Wellington"
9,Sunday 27 May,West Coast Fever,55–56,Queensland Firebirds,"Challenge Stadium, Perth"
9,Sunday 27 May,Melbourne Vixens,43–49,New South Wales Swifts,"Hisense Arena, Melbourne"
9,Sunday 27 May,Northern Mystics,57–56,Canterbury Tactix,"Trusts Stadium, Auckland"
9,Monday 28 May,Southern Steel,50–58,Central Pulse,"Lion Foundation Arena, Dunedin"
9,BYES:  Adelaide Thunderbirds and Waikato Bay of Plenty Magic,,,,
10,Sunday 3 June,Queensland Firebirds,50–45,New South Wales Swifts,Brisbane Convention and Exhibition Centre
10,Sunday 3 June,Melbourne Vixens,48–40,Adelaide Thunderbirds,"Hisense Arena, Melbourne"
10,Sunday 3 June,Canterbury Tactix,47–54,Central Pulse,"CBS Canterbury Arena, Christchurch"
10,Monday 4 June,Waikato Bay of Plenty Magic,66–47,Southern Steel,"Claudelands Arena, Hamilton"
10,BYES:  West Coast Fever and Northern Mystics,,,,
11,Sunday 10 June,Adelaide Thunderbirds,54–49,Queensland Firebirds,"Netball SA Stadium, Adelaide"
11,Sunday 10 June,West Coast Fever,49–51,New South Wales Swifts,"Challenge Stadium, Perth"
11,Sunday 10 June,Waikato Bay of Plenty Magic,52–42,Central Pulse,"TECT Arena, Tauranga"
11,Monday 11 June,Northern Mystics,60–49,Southern Steel,"Trusts Stadium, Auckland"
11,BYES:  Melbourne Vixens and Canterbury Tactix,,,,
12,Sunday 17 June,Melbourne Vixens,50–49,West Coast Fever,"Hisense Arena, Melbourne"
12,Sunday 17 June,New South Wales Swifts,35–62,Adelaide Thunderbirds,"State Sports Centre, Sydney"
12,Sunday 17 June,Northern Mystics,46–48,Waikato Bay of Plenty Magic,"Trusts Stadium, Auckland"
12,Monday 18 June,Southern Steel,61–62,Canterbury Tactix,Invercargill ILT Velodrome
12,BYES:  Queensland Firebirds and Central Pulse,,,,
13,Saturday 23 June,Waikato Bay of Plenty Magic,59–42,Adelaide Thunderbirds,"TECT Arena, Tauranga"
13,Sunday 24 June,New South Wales Swifts,55–42,Southern Steel,"State Sports Centre, Sydney"
13,Sunday 24 June,Queensland Firebirds,63–43,West Coast Fever,Brisbane Convention and Exhibition Centre
13,Sunday 24 June,Canterbury Tactix,55–64,Northern Mystics,"CBS Canterbury Arena, Christchurch"
13,Monday 25 June,Central Pulse,41–49,Melbourne Vixens,"Te Rauparaha, Porirua"
14,Saturday 30 June,Southern Steel,38–56,Melbourne Vixens,Invercargill ILT Velodrome
14,Sunday 1 July,Adelaide Thunderbirds,65–44,Canterbury Tactix,"Netball SA Stadium, Adelaide"
14,Sunday 1 July,West Coast Fever,40–38,Central Pulse,"Challenge Stadium, Perth"
14,Sunday 1 July,Northern Mystics,50–49,New South Wales Swifts,"Trusts Stadium, Auckland"
14,Monday 2 July,Waikato Bay of Plenty Magic,53–43,Queensland Firebirds,"Claudelands Arena, Hamilton"
15,Sunday 8 July,Melbourne Vixens,56–50,Northern Mystics,"Rod Laver Arena, Melbourne"
15,Monday 9 July,Waikato Bay of Plenty Magic,49–48,Adelaide Thunderbirds,"Claudelands Arena, Hamilton"
16,Monday 16 July,Northern Mystics,48–57,Waikato Bay of Plenty Magic,"Trusts Stadium, Auckland"
17,Sunday 22 July,Melbourne Vixens,38–41,Waikato Bay of Plenty Magic,"Hisense Arena, Melbourne"
